index,convo_x,convo_y,output_x,output_y,text,distance,x_diff,y_diff,text_length
0,-3.5076768,16.50999,14.666464,10.921416,passionate playful surrender,19.01398309591393,18.1741408,-5.588573999999998,28
1,-5.1161804,11.029538,19.53019,25.115986,Curious playful spark,28.38787753867309,24.646370400000002,14.086447999999999,21
2,-3.3924623,16.481937,13.59408,10.7462225,Passionate love story,17.928776872257615,16.9865423,-5.7357144999999985,21
3,-5.319458,10.15218,19.554407,25.09146,Curious playful spark,29.01536225789065,24.873865000000002,14.939280000000002,21
4,-7.5253563,12.517664,19.553135,25.094227,Curious playful spark,29.856567585326093,27.078491300000003,12.576563,21
5,-4.504829,15.364824,14.435819,11.962972,Loving playful passion,19.243719590812166,18.940648,-3.401852,22
6,-3.4098928,13.068708,15.775526,6.623236,Victorious Spartan Leader,20.239179920001142,19.1854188,-6.4454720000000005,25
7,-7.905363,10.049365,25.785755,3.7124717,Curious digital whisper,34.2818851404865,33.691118,-6.3368933,23
8,-3.7351656,16.246162,14.561892,10.929249,Passionate playful surrender,19.05392034903282,18.297057600000002,-5.316913000000001,28
9,-4.040474,12.801229,19.319454,18.13781,creative surrealist spark,23.961747284677404,23.359928,5.3365810000000025,25
10,-5.1842494,11.391494,19.7622,17.993526,playful creative chaos,25.805273960874437,24.9464494,6.6020319999999995,22
11,-6.7907457,11.974865,24.402004,18.450485,curious playful energy,31.857829308213233,31.1927497,6.475620000000001,22
12,-4.283416,16.139866,14.306285,12.038581,sensual maternal desire,19.036741368223346,18.589701,-4.101285000000001,23
13,-6.5293155,11.390357,29.457003,17.373384,playful emoji spirit,36.48029236815642,35.9863185,5.983027000000002,20
14,-6.427088,11.091577,20.9227,10.706639,Frustrated Persistent Learner,27.352496794786177,27.349788,-0.384938,29
15,-4.4406266,15.744071,14.004349,9.9614105,Painful Betrayal Terror,19.330191083971613,18.4449756,-5.7826605,23
16,-4.7725205,12.152664,19.268,7.116464,Curious. Alive. Present.,24.562368296866655,24.0405205,-5.0362,24
17,-4.789889,12.328056,18.872639,7.084462,"Curious, compassionate, present.",24.23655316639765,23.662528,-5.243594,32
18,-6.9122596,11.919824,19.76366,21.291445,playful curiosity spark,28.274227958925866,26.6759196,9.371621,23
19,-5.380602,10.951147,18.781303,6.9868684,"Curious, Present, Listening",24.484957791416406,24.161905,-3.964278600000001,27
20,-9.341773,11.67223,15.330646,5.9700856,Ethical Guardian Core,25.322770584397205,24.672418999999998,-5.702144400000001,21
21,-4.1014557,14.456568,23.041988,9.708026,"""Curious Vulnerable Detective""",27.55567431620634,27.1434437,-4.7485420000000005,30
22,-4.643654,10.95268,23.592442,9.625901,Curious questioning spirit,28.267250659306377,28.236095999999996,-1.3267790000000002,26
23,-4.210362,10.419338,20.743189,5.186733,Curious. Expressive. Alive.,25.496271543024207,24.953551,-5.2326049999999995,27
24,-4.9030485,12.306648,20.854862,10.741385,"Frustrated, misunderstood, repeating",25.805425816776967,25.7579105,-1.5652629999999998,36
